DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2012-01-04T15:35:51.030+00:00,-7.354,128.737,148.4,5.2,mb,175,28,,0.98,pde,pde20120104153551030_148,1363392495162
2012-01-04T16:25:35.550+00:00,59.099,-138.116,5.2,4.3,mwr,157,86,,0.94,pde,pde20120104162535550_5,1363392495291
2012-01-04T16:31:25.020+00:00,33.624,74.892,22.8,4.2,mb,35,96,,1.33,pde,pde20120104163125020_22,1363392495323
2012-01-04T16:50:58.320+00:00,26.932,143.808,10.0,4.4,mb,23,115,,0.79,pde,pde20120104165058320_10,1363392495331
2012-01-04T16:51:44.280+00:00,26.740,66.169,10.0,4.8,mb,72,94,,1.13,pde,pde20120104165144280_10,1363392495336
2012-01-04T17:30:45.110+00:00,26.883,143.798,10.0,4.2,mb,21,105,,1.00,pde,pde20120104173045110_10,1363392495374
2012-01-04T18:04:48.180+00:00,-15.552,-174.671,10.0,5.0,mb,107,124,,1.12,pde,pde20120104180448180_10,1363392495379
2012-01-04T18:14:25.040+00:00,-4.431,144.409,128.0,4.9,mb,37,81,,0.87,pde,pde20120104181425040_128,1363392495397
2012-01-04T18:42:34.590+00:00,13.456,-90.537,81.4,4.5,mb,44,154,,0.88,pde,pde20120104184234590_81,1363392495408
2012-01-04T18:54:11.320+00:00,-15.140,-174.663,10.0,5.0,mb,21,124,,1.08,pde,pde20120104185411320_10,1363392495415
2012-01-04T18:56:57.290+00:00,-10.670,166.375,75.9,5.2,mb,147,63,,0.86,pde,pde20120104185657290_75,1363392495419
2012-01-04T19:03:55.120+00:00,2.123,96.740,45.6,4.7,mb,36,108,,0.66,pde,pde20120104190355120_45,1363392495436
2012-01-04T19:28:54.530+00:00,-43.512,172.814,12.8,4.8,ml,77,91,,,pde,pde20120104192854530_12,1363392495608
2012-01-04T19:37:01.080+00:00,41.329,83.868,8.8,4.4,mb,41,129,,1.05,pde,pde20120104193701080_8,1363392495622
2012-01-04T19:53:44.020+00:00,-10.659,166.280,112.8,4.9,mb,100,66,,0.65,pde,pde20120104195344020_112,1363392495627
2012-01-04T20:00:09.680+00:00,-23.508,-179.936,543.7,4.6,mb,149,65,,0.79,pde,pde20120104200009680_543,1363392495674
2012-01-04T20:59:48.960+00:00,-62.717,-158.380,10.0,4.9,mb,32,57,,0.96,pde,pde20120104205948960_10,1363392495706
2012-01-04T22:02:05.010+00:00,-10.631,163.486,35.0,4.5,mb,40,116,,1.35,pde,pde20120104220205010_35,1363392495714
2012-01-05T00:54:31.110+00:00,-45.992,-76.472,10.0,5.3,mb,101,81,,0.93,pde,pde20120105005431110_10,1363392495723
2012-01-05T01:05:15.800+00:00,17.133,-94.492,128.4,4.0,md,6,169,,,pde,pde20120105010515800_128,1363392495738
2012-01-05T01:13:40.430+00:00,-17.691,-173.543,35.0,5.6,mwc,224,76,,1.26,pde,pde20120105011340430_35,1363392495741
2012-01-05T01:19:55.130+00:00,-0.260,122.921,100.6,4.8,mb,64,52,,1.22,pde,pde20120105011955130_100,1363392495808
2012-01-05T02:17:06.050+00:00,10.162,126.467,52.7,4.8,mb,48,131,,0.73,pde,pde20120105021706050_52,1363392495824
2012-01-05T02:24:10.590+00:00,-7.453,128.284,132.0,4.2,mb,32,70,,0.95,pde,pde20120105022410590_132,1363392495886
